2022-09-16/21:42,20		 Start of validation of files for training!!
2022-09-16/21:42,21		 Start of validation of files for training!!
2022-09-16/21:42,22		Raw Data Validation Complete!!
2022-09-16/21:42,22		Creating Training_Database and tables on the basis of given schema!
2022-09-16/21:42,37		Table creation Completed!!
2022-09-16/21:42,37		Insertion of Data into Table started!!!!
2022-09-16/21:47,14		Insertion in Table completed!!!
2022-09-16/21:47,14		Deleting Good Data Folder!!!
2022-09-16/21:47,15		Good_Data folder deleted!!!
2022-09-16/21:47,15		Moving bad files to Archive and deleting Bad_Data folder!!!
2022-09-16/21:47,15		Bad files moved to archive!! Bad folder Deleted!!
2022-09-16/21:47,15		Validation Operation completed!!
2022-09-16/21:47,15		Extracting csv file from table
2022-09-16/21:47,29		Extraction of table data to csv file is finished. 
